全国地方公共団体コード,識別値,避難所種別,避難所種別小分類,名称,名称_カナ,通称,住所表記,郵便番号,緯度,経度,説明,連絡先名称,電話番号,担当課,担当課連絡先,対象地区,災害種別,屋内収容可能人数,屋外収容可能人数,備考,救護設備,備蓄倉庫,給水設備,炊事設備,発電設備,風呂,トイレ,その他設備
23226,,指定緊急避難場所,一時避難場所,下川原公園,シモガワラコウエン,,愛知県尾張旭市狩宿新町二丁目９６,4880022,35.20995,137.058263,災害発生直後、一時的に安全を確保する目的で避難する場所です。,下川原公園,,災害対策室,0561-76-8127,,地震,,1200,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,八反田公園,ハッタンダコウエン,,愛知県尾張旭市井田町四丁目９６,4880024,35.208297,137.051037,災害発生直後、一時的に安全を確保する目的で避難する場所です。,八反田公園,,災害対策室,0561-76-8127,,地震,,2000,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,前の上公園,マエノカミコウエン,,愛知県尾張旭市井田町二丁目１７６,4880024,35.209708,137.047716,災害発生直後、一時的に安全を確保する目的で避難する場所です。,前の上公園,,災害対策室,0561-76-8127,,地震,,2600,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,井田公園,イダコウエン,,愛知県尾張旭市井田町一丁目２４,4880024,35.210953,137.051214,災害発生直後、一時的に安全を確保する目的で避難する場所です。,井田公園,,災害対策室,0561-76-8127,,地震,,600,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,狩宿新町第１号公園,カリジュクシンチョウダイ１ゴウコウエン,,愛知県尾張旭市狩宿新町一丁目２７,4880022,35.212897,137.059864,災害発生直後、一時的に安全を確保する目的で避難する場所です。,狩宿新町第１号公園,,災害対策室,0561-76-8127,,地震,,300,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,狩宿新町第２号公園,カリジュクシンチョウダイ２ゴウコウエン,,愛知県尾張旭市狩宿新町二丁目８３,4880022,35.209581,137.059282,災害発生直後、一時的に安全を確保する目的で避難する場所です。,狩宿新町第２号公園,,災害対策室,0561-76-8127,,地震,,300,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,はんの木公園,ハンノキコウエン,,愛知県尾張旭市桜ケ丘町一丁目９３,4880859,35.219429,137.01318,災害発生直後、一時的に安全を確保する目的で避難する場所です。,はんの木公園,,災害対策室,0561-76-8127,,地震,,800,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,桜ケ丘公園,サクラガオカコウエン,,愛知県尾張旭市桜ケ丘町二丁目４６,4880859,35.216375,137.012955,災害発生直後、一時的に安全を確保する目的で避難する場所です。,桜ケ丘公園,,災害対策室,0561-76-8127,,地震,,300,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,白鳳公園,ハクホウコウエン,,愛知県尾張旭市白鳳町一丁目１１,4880858,35.213,137.012853,災害発生直後、一時的に安全を確保する目的で避難する場所です。,白鳳公園,,災害対策室,0561-76-8127,,地震,,300,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,中畑公園,ナカハタコウエン,,愛知県尾張旭市北本地ヶ原町一丁目２９,4880043,35.197405,137.032235,災害発生直後、一時的に安全を確保する目的で避難する場所です。,中畑公園,,災害対策室,0561-76-8127,,地震,,600,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,本地ヶ原南公園,ホンジガハラミナミコウエン,,愛知県尾張旭市南本地ヶ原二丁目３８,4880044,35.195287,137.032766,災害発生直後、一時的に安全を確保する目的で避難する場所です。,本地ヶ原南公園,,災害対策室,0561-76-8127,,地震,,600,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,池の端公園,イケノハタコウエン,,愛知県尾張旭市南本地ヶ原三丁目６１,4880044,35.196992,137.037266,災害発生直後、一時的に安全を確保する目的で避難する場所です。,池の端公園,,災害対策室,0561-76-8127,,地震,,600,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,白山公園,ハクサンコウエン,,愛知県尾張旭市北本地ヶ原町四丁目５６,4880043,35.200052,137.042497,災害発生直後、一時的に安全を確保する目的で避難する場所です。,白山公園,,災害対策室,0561-76-8127,,地震,,800,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,池上公園,イケガミコウエン,,愛知県尾張旭市東本地ヶ原町二丁目２５,4880033,35.198728,137.043167,災害発生直後、一時的に安全を確保する目的で避難する場所です。,池上公園,,災害対策室,0561-76-8127,,地震,,700,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,本地ヶ原東公園,ホンジガハラヒガシコウエン,,愛知県尾張旭市東本地ヶ原町四丁目２７,4880033,35.199364,137.047816,災害発生直後、一時的に安全を確保する目的で避難する場所です。,本地ヶ原東公園,,災害対策室,0561-76-8127,,地震,,900,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,本地ヶ原公園,ホンジガハラコウエン,,愛知県尾張旭市北本地ヶ原町三丁目３２,4880043,35.199956,137.037642,災害発生直後、一時的に安全を確保する目的で避難する場所です。,本地ヶ原公園,,災害対策室,0561-76-8127,,地震,,4000,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,旭根の鼻公園,アサヒネノハナコウエン,,愛知県尾張旭市根の鼻町一丁目１８,4880002,35.219925,137.057335,災害発生直後、一時的に安全を確保する目的で避難する場所です。,旭根の鼻公園,,災害対策室,0561-76-8127,,地震,,300,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,北山公園,キタヤマコウエン,,愛知県尾張旭市白鳳町二丁目４２,4880858,35.21197,137.015039,災害発生直後、一時的に安全を確保する目的で避難する場所です。,北山公園,,災害対策室,0561-76-8127,,地震,,600,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,とちの木公園,トチノキコウエン,,愛知県尾張旭市平子ヶ丘町二丁目１４,4880876,35.222168,137.014967,災害発生直後、一時的に安全を確保する目的で避難する場所です。,とちの木公園,,災害対策室,0561-76-8127,,地震,,500,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,五反田公園,ゴタンダコウエン,,愛知県尾張旭市向町一丁目９－１,4880818,35.216546,137.031913,災害発生直後、一時的に安全を確保する目的で避難する場所です。,五反田公園,,災害対策室,0561-76-8127,,地震,,500,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,西向公園,ニシムカエコウエン,,愛知県尾張旭市向町三丁目１２－４,4880818,35.215029,137.029274,災害発生直後、一時的に安全を確保する目的で避難する場所です。,西向公園,,災害対策室,0561-76-8127,,地震,,500,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,石川公園,イシカワコウエン,,愛知県尾張旭市向町四丁目８－４,4880818,35.21634,137.028941,災害発生直後、一時的に安全を確保する目的で避難する場所です。,石川公園,,災害対策室,0561-76-8127,,地震,,500,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,東向公園,ヒガシムカエコウエン,,愛知県尾張旭市向町二丁目４－６,4880818,35.214674,137.031666,災害発生直後、一時的に安全を確保する目的で避難する場所です。,東向公園,,災害対策室,0561-76-8127,,地震,,500,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,印場駅北公園,インバエキキタコウエン,,愛知県尾張旭市印場元町一丁目８－９,4880840,35.212246,137.011448,災害発生直後、一時的に安全を確保する目的で避難する場所です。,印場駅北公園,,災害対策室,0561-76-8127,,地震,,500,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,二反田公園,ニタンダコウエン,,愛知県尾張旭市東印場町一丁目１４―１,4880830,35.211593,137.024698,災害発生直後、一時的に安全を確保する目的で避難する場所です。,二反田公園,,災害対策室,0561-76-8127,,地震,,500,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,印場中央公園,インバチュウオウコウエン,,愛知県尾張旭市東印場町三丁目１４－１,4880830,35.208863,137.016721,災害発生直後、一時的に安全を確保する目的で避難する場所です。,印場中央公園,,災害対策室,0561-76-8127,,地震,,6000,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,南島公園,ミナミジマコウエン,,愛知県尾張旭市庄中町二丁目１１－１,4880838,35.203454,137.013872,災害発生直後、一時的に安全を確保する目的で避難する場所です。,南島公園,,災害対策室,0561-76-8127,,地震,,800,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,北島公園,キタジマコウエン,,愛知県尾張旭市印場元町三丁目９－１,4880840,35.208455,137.011587,災害発生直後、一時的に安全を確保する目的で避難する場所です。,北島公園,,災害対策室,0561-76-8127,,地震,,500,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,鳥居公園,トリイコウエン,,愛知県尾張旭市渋川町二丁目１２―６,4880839,35.206553,137.016866,災害発生直後、一時的に安全を確保する目的で避難する場所です。,鳥居公園,,災害対策室,0561-76-8127,,地震,,800,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,塚坪公園,ツカツボコウエン,,愛知県尾張旭市渋川町三丁目５―８,4880839,35.20487,137.01774,災害発生直後、一時的に安全を確保する目的で避難する場所です。,塚坪公園,,災害対策室,0561-76-8127,,地震,,800,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,一里山公園,イチリヤマコウエン,,愛知県尾張旭市東印場町二丁目８－３,4880830,35.211633,137.019339,災害発生直後、一時的に安全を確保する目的で避難する場所です。,一里山公園,,災害対策室,0561-76-8127,,地震,,800,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,越水公園,コシミズコウエン,,愛知県尾張旭市東印場町三丁目５－３,4880830,35.210291,137.021688,災害発生直後、一時的に安全を確保する目的で避難する場所です。,越水公園,,災害対策室,0561-76-8127,,地震,,800,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,渋川公園,シブカワコウエン,,愛知県尾張旭市渋川町一丁目４―１,4880839,35.207407,137.021291,災害発生直後、一時的に安全を確保する目的で避難する場所です。,渋川公園,,災害対策室,0561-76-8127,,地震,,800,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,黒石公園,クロイシコウエン,,愛知県尾張旭市南栄町一丁目５４,4880045,35.19342,137.027342,災害発生直後、一時的に安全を確保する目的で避難する場所です。,黒石公園,,災害対策室,0561-76-8127,,地震,,200,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,新池公園,シンイケコウエン,,愛知県尾張旭市南栄町旭ヶ丘１７３,4880046,35.196238,137.038221,災害発生直後、一時的に安全を確保する目的で避難する場所です。,新池公園,,災害対策室,0561-76-8127,,地震,,1300,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,晴丘東公園,ハルオカヒガシコウエン,,愛知県尾張旭市晴丘町東２６１,4880031,35.196162,137.048569,災害発生直後、一時的に安全を確保する目的で避難する場所です。,晴丘東公園,,災害対策室,0561-76-8127,,地震,,300,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,広久手公園,ヒロクテコウエン,,愛知県尾張旭市旭前町五丁目２－１４,4880855,35.214615,137.021374,災害発生直後、一時的に安全を確保する目的で避難する場所です。,広久手公園,,災害対策室,0561-76-8127,,地震,,400,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,茅池公園,チガイケコウエン,,愛知県尾張旭市城前町一丁目７－６,4880867,35.21838,137.024486,災害発生直後、一時的に安全を確保する目的で避難する場所です。,茅池公園,,災害対策室,0561-76-8127,,地震,,500,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,城前公園,シロマエコウエン,,愛知県尾張旭市城前町二丁目８―１,4880867,35.216507,137.025915,災害発生直後、一時的に安全を確保する目的で避難する場所です。,城前公園,,災害対策室,0561-76-8127,,地震,,500,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,旭前公園,アサヒマエコウエン,,愛知県尾張旭市旭前町三丁目９－１０,4880855,35.213936,137.01832,災害発生直後、一時的に安全を確保する目的で避難する場所です。,旭前公園,,災害対策室,0561-76-8127,,地震,,400,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,旭前南公園,アサヒマエミナミコウエン,,愛知県尾張旭市旭前町四丁目３－９,4880855,35.212854,137.018094,災害発生直後、一時的に安全を確保する目的で避難する場所です。,旭前南公園,,災害対策室,0561-76-8127,,地震,,600,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,八瀬の木公園,ヤセノキコウエン,,愛知県尾張旭市城前町三丁目８－１,4880867,35.215674,137.025835,災害発生直後、一時的に安全を確保する目的で避難する場所です。,八瀬の木公園,,災害対策室,0561-76-8127,,地震,,600,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,砂川公園,スガワコウエン,,愛知県尾張旭市城前町四丁目４－２,4880867,35.214263,137.023683,災害発生直後、一時的に安全を確保する目的で避難する場所です。,砂川公園,,災害対策室,0561-76-8127,,地震,,800,,,,,,,,,
23226,,指定緊急避難場所,一時避難場所,新田洞公園,シンデンボラコウエン,,愛知県尾張旭市旭前町一丁目５－１４,4880855,35.21547,137.020913,災害発生直後、一時的に安全を確保する目的で避難する場所です。,新田洞公園,,災害対策室,0561-76-8127,,地震,,100,,,,,,,,,
23226,,指定緊急避難場所,地域避難所,中央公民館,チュウオウコウミンカン,,愛知県尾張旭市東大道町山の内２４１０―２,4880803,35.213798,137.035314,多くの避難者が数日間生活でき、かつ物資等が配備できる避難所です。,中央公民館,0561-54-5300,災害対策室,0561-76-8127,旭小学校区,風水害　,609,,,,,,,,,,
23226,,指定緊急避難場所,地域避難所,三郷公民館,サンゴウコウミンカン,,愛知県尾張旭市井田町三丁目１６３,4880024,35.208749,137.054261,多くの避難者が数日間生活でき、かつ物資等が配備できる避難所です。,三郷公民館,0561-54-4500,災害対策室,0561-76-8127,三郷小学校区,風水害　,64,,,,,,,,,,
23226,,指定緊急避難場所,地域避難所,藤池公民館,フジイケコウミンカン,,愛知県尾張旭市東栄町一丁目４―７,4880011,35.21925,137.049476,多くの避難者が数日間生活でき、かつ物資等が配備できる避難所です。,藤池公民館,0561-54-8722,災害対策室,0561-76-8127,東栄小学校区,風水害　,69,,,,,,,,,,
23226,,指定緊急避難場所,地域避難所,瑞鳳公民館,ズイホウコウミンカン,,愛知県尾張旭市大塚町二丁目１０－２,4880826,35.201341,137.020133,多くの避難者が数日間生活でき、かつ物資等が配備できる避難所です。,瑞鳳公民館,052-773-1466,災害対策室,0561-76-8127,瑞鳳小学校区,風水害　,89,,,,,,,,,,
23226,,指定緊急避難場所,地域避難所,平子公民館,ヒラココウミンカン,,愛知県尾張旭市平子町中通２１９―２,4880873,35.221336,137.024692,多くの避難者が数日間生活でき、かつ物資等が配備できる避難所です。,平子公民館,0561-54-9290,災害対策室,0561-76-8127,城山小学校区,風水害　,89,,,,,,,,,,
23226,,指定緊急避難場所,地域避難所,本地原公民館,ホンジガハラコウミンカン,,愛知県尾張旭市緑町緑ヶ丘１００－１０,4880822,35.198842,137.029284,多くの避難者が数日間生活でき、かつ物資等が配備できる避難所です。,本地原公民館,0561-54-9291,災害対策室,0561-76-8127,本地原小学校区,風水害　,83,,,,,,,,,,
23226,,指定緊急避難場所,地域避難所,渋川公民館,シブカワコウミンカン,,愛知県尾張旭市渋川町一丁目６―１,4880839,35.208328,137.018824,多くの避難者が数日間生活でき、かつ物資等が配備できる避難所です。,渋川公民館,0561-53-8600,災害対策室,0561-76-8127,渋川小学校区,風水害　,152,,,,,,,,,,
23226,,指定緊急避難場所,地域避難所,白鳳公民館,ハクホウコウミンカン,,愛知県尾張旭市白鳳町二丁目２０,4880858,35.211641,137.014382,多くの避難者が数日間生活でき、かつ物資等が配備できる避難所です。,白鳳公民館,0561-52-0690,災害対策室,0561-76-8127,白鳳小学校区,風水害　,83,,,,,,,,,,
23226,,指定緊急避難場所,地域避難所,旭丘公民館,アサヒガオカコウミンカン,,愛知県尾張旭市大久手町上切戸７０,4880005,35.223606,137.044873,多くの避難者が数日間生活でき、かつ物資等が配備できる避難所です。,旭丘公民館,0561-52-1624,災害対策室,0561-76-8127,旭丘小学校区,風水害　,107,,,,,,,,,,
23226,,指定避難所,,旭小学校,アサヒショウガッコウ,,愛知県尾張旭市西の野町五丁目１,4880804,35.211676,137.036859,多くの避難者が数日間生活でき、かつ物資等が配備できる避難所です。,旭小学校,0561-53-2035,災害対策室,0561-76-8127,,風水害/地震,126,,収容可能人数は１人あたり３㎡の場合,,有,,,,,,
23226,,指定避難所,,東栄小学校,トウエイチョウガッコウ,,愛知県尾張旭市東栄町三丁目５―１,4880011,35.220082,137.053617,多くの避難者が数日間生活でき、かつ物資等が配備できる避難所です。,東栄小学校,0561-53-2926,災害対策室,0561-76-8127,,風水害/地震,90,,収容可能人数は１人あたり３㎡の場合,,有,,,,,,
23226,,指定避難所,,渋川小学校,シブカワショウガッコウ,,愛知県尾張旭市渋川町一丁目５―８,4880839,35.208021,137.019854,多くの避難者が数日間生活でき、かつ物資等が配備できる避難所です。,渋川小学校,0561-53-2044,災害対策室,0561-76-8127,,風水害/地震,126,,収容可能人数は１人あたり３㎡の場合,,有,,,,,,
23226,,指定避難所,,本地原小学校,ホンジガハラショウガッコウ,,愛知県尾張旭市南新町中畑２５２,4880041,35.198325,137.030421,多くの避難者が数日間生活でき、かつ物資等が配備できる避難所です。,本地原小学校,0561-53-2702,災害対策室,0561-76-8127,,風水害/地震,126,,収容可能人数は１人あたり３㎡の場合,,有,,,,,マンホールトイレ５基あり,
23226,,指定避難所,,城山小学校,シロヤマショウガッコウ,,愛知県尾張旭市城山町城山１３―１,4880884,35.223509,137.028217,多くの避難者が数日間生活でき、かつ物資等が配備できる避難所です。,城山小学校,0561-53-5020,災害対策室,0561-76-8127,,風水害/地震,126,,収容可能人数は１人あたり３㎡の場合,,有,,,,,,
23226,,指定避難所,,白鳳小学校,ハクホウショウガッコウ,,愛知県尾張旭市白鳳町一丁目１２,4880858,35.212991,137.014006,多くの避難者が数日間生活でき、かつ物資等が配備できる避難所です。,白鳳小学校,0561-53-5700,災害対策室,0561-76-8127,,風水害/地震,126,,収容可能人数は１人あたり３㎡の場合,,有,,,,,マンホールトイレ５基あり,
23226,,指定避難所,,瑞鳳小学校,ズイホウショウガッコウ,,愛知県尾張旭市大塚町二丁目１０―１,4880826,35.202077,137.019489,多くの避難者が数日間生活でき、かつ物資等が配備できる避難所です。,瑞鳳小学校,052-773-2391,災害対策室,0561-76-8127,,風水害/地震,126,,収容可能人数は１人あたり３㎡の場合,,有,,,,,,
23226,,指定避難所,,旭丘小学校,アサヒガオカショウガッコウ,,愛知県尾張旭市大久手町上切戸１１７―１,4880005,35.223343,137.043639,多くの避難者が数日間生活でき、かつ物資等が配備できる避難所です。,旭ヶ丘小学校,0561-54-3066,災害対策室,0561-76-8127,,風水害/地震,126,,収容可能人数は１人あたり３㎡の場合,,有,,,,,,
23226,,指定避難所,,三郷小学校,サンゴウショウガッコウ,,愛知県尾張旭市瀬戸川町一丁目１２２,4880023,35.211676,137.057415,多くの避難者が数日間生活でき、かつ物資等が配備できる避難所です。,三郷小学校,0561-54-8777,災害対策室,0561-76-8127,,風水害/地震,126,,収容可能人数は１人あたり３㎡の場合,,有,,,,,,
23226,,指定避難所,,旭中学校,アサヒチュウガッコウ,,愛知県尾張旭市向町二丁目４－２,4880818,35.21577,137.032803,多くの避難者が数日間生活でき、かつ物資等が配備できる避難所です。,旭中学校,0561-53-2910,災害対策室,0561-76-8127,,風水害/地震,277,,収容可能人数は１人あたり３㎡の場合,,有,,,,,,
23226,,指定避難所,,東中学校,ヒガシチュウガッコウ,,愛知県尾張旭市下井町前の上１６０２,4880051,35.210169,137.045152,多くの避難者が数日間生活でき、かつ物資等が配備できる避難所です。,東中学校,0561-54-6511,災害対策室,0561-76-8127,,風水害/地震,277,,収容可能人数は１人あたり３㎡の場合,,有,,,,,,
23226,,指定避難所,,西中学校,ニシチュウガッコウ,,愛知県尾張旭市渋川町三丁目２―９,4880839,35.205707,137.021098,多くの避難者が数日間生活でき、かつ物資等が配備できる避難所です。,西中学校,0561-54-1191,災害対策室,0561-76-8127,,風水害/地震,277,,収容可能人数は１人あたり３㎡の場合,,有,,,,,,
23226,,その他,福祉避難所,尾張旭市保健福祉センター,オワリアサヒシホケンフクシセンター,,愛知県尾張旭市新居町明才切５７,4880074,35.218635,137.034943,妊産婦・乳幼児、高齢者、障がい者、就学前児童、児童対象。特別な配慮が必要とされる方々に対し、必要に応じて開設します。,尾張旭市保健福祉センター,0561-55-6800,災害対策室,0561-76-8127,,風水害/地震,114,,,,,,,,,,
